task_id,arrival_time_min,cpu_demand_pct,duration_min,latency_sla_min,node_id,queue_wait_min,start_time_min,end_time_min,completion_latency_min,migrated,sla_breached
1688,731.8068686316133,14.299080751091362,23.51944096329106,2.144838915927932,8,0.0,731.8068686316133,755.3263095949044,23.519440963291117,False,False
1689,731.8669460057771,14.383235736649773,26.51678642111526,1.395730500477277,19,0.0,731.8669460057771,758.3837324268924,26.516786421115285,False,False
1690,732.0822565627657,20.3362103796697,29.112659635965663,3.8558304635402454,18,0.0,732.0822565627657,761.1949161987313,29.112659635965656,False,False
1041,612.0155881526877,15.275930114880266,20.910812704241945,5.2308685822155,15,120.21047959591681,732.2260677486045,753.1368804528464,141.12129230015876,False,True
1043,612.4421322058228,14.589198698369328,3.066506291708303,7.47735171470715,15,119.7839355427817,732.2260677486045,735.2925740403127,122.85044183448997,False,True
1691,732.9605500909661,28.24706051976316,11.019880897438526,5.039724511122092,2,0.0,732.9605500909661,743.9804309884046,11.019880897438497,False,False
1692,733.2201064124686,26.947971813405907,26.103488179812906,1.7665435359085202,4,0.0,733.2201064124686,759.3235945922814,26.10348817981287,False,False
1693,733.3583092392684,19.02133522610203,3.0993988923461586,5.416979482784543,6,0.0,733.3583092392684,736.4577081316145,3.09939889234613,False,False
1694,733.6165381203243,23.176922238237673,15.933013031669521,7.506920957125053,5,0.0,733.6165381203243,749.5495511519938,15.933013031669475,False,False
1695,733.82649717477,29.476075802298137,12.09970034088599,7.469986505936417,7,0.0,733.82649717477,745.926197515656,12.099700340885988,False,False
1696,733.8322420423792,28.195024979300605,25.729284368385105,7.070374410000819,13,0.0,733.8322420423792,759.5615264107644,25.72928436838515,False,False
1159,626.180274384152,14.760670270219048,28.063476072208605,6.1053003155437695,9,107.67970587435241,733.8599802585044,761.923456330713,135.74318194656098,False,True
1437,656.1083089565841,13.701391165561603,25.821543953272656,3.7877073255663767,3,77.98552088059932,734.0938298371834,759.9153737904561,103.807064833872,False,True
1438,656.1737204834853,11.547602653787372,6.762634491164281,4.6894722879172015,3,77.92010935369808,734.0938298371834,740.8564643283477,84.68274384486233,False,True
1669,725.7104756352537,28.675599046926585,17.184579640391718,7.520873623890394,17,8.489427642677697,734.1999032779314,751.3844829183231,25.674007283069386,False,True
1697,734.3752569998019,12.644860079487206,18.692117444800562,5.413322094159819,2,0.0,734.3752569998019,753.0673744446025,18.6921174448006,False,False
